2023-08-11 19:08:46.416 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-08-11 19:08:46.417 [info] Added views:workbench.panel.output in workbench.panel.output
2023-08-11 19:08:46.417 [info] Added views:terminal in terminal
2023-08-11 19:08:46.417 [info] Added views:outline in workbench.view.explorer
2023-08-11 19:08:46.417 [info] Added views:workbench.scm in workbench.view.scm
2023-08-11 19:08:46.417 [info] Added views:workbench.view.search in workbench.view.search
2023-08-11 19:08:46.417 [info] Added views:timeline in workbench.view.explorer
2023-08-11 19:08:46.417 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-08-11 19:08:46.689 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-08-11 19:08:46.783 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-08-11 19:08:51.666 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 19:09:38.939 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2023-08-11 19:09:41.490 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 19:09:45.263 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2023-08-11 19:10:06.820 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 19:10:18.019 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2023-08-11 19:10:25.940 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 19:10:52.389 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2023-08-11 19:11:41.235 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 19:12:30.910 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2023-08-11 19:12:32.482 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2023-08-11 19:12:37.226 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2023-08-11 19:12:48.050 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
